model,MAE,RMSE,R2,AUC-ROC,PR-AUC,Brier Score,Accuracy,Precision,Recall,F1-Score
restaurant_headcount_regressor,1.0247222222222223,1.3518233571324652,0.9514871744187386,,,,,,,
restaurant_xgboost,,,,0.7664835164835165,0.9685693528193344,0.09417358040809631,0.8888888888888888,0.9071428571428571,0.9769230769230769,0.9407407407407408
restaurant_calibrated,,,,0.7414835164835164,0.9679617227629226,0.09230593829210698,0.8888888888888888,0.9071428571428571,0.9769230769230769,0.9407407407407408
restaurant_role_garzon,,,,0.6836734693877551,0.5656621257291163,0.23839394748210907,0.5694444444444444,0.4024390243902439,0.717391304347826,0.515625
restaurant_role_cocinero_linea,,,,0.7653890824622531,0.29736967222275,0.13167548179626465,0.7708333333333334,0.3,0.42857142857142855,0.35294117647058826
restaurant_role_jefe_turno,,,,0.5747252747252747,0.12614763150997937,0.09490666538476944,0.9027777777777778,0.0,0.0,0.0
